g,popu,collect(g1)
"{name:dubstep,lpa:1,gid:dubstep}",21,"[{name:electronic,lpa:163,gid:electronic},{name:electronica,lpa:192,gid:electronica},{name:trance,lpa:281,gid:trance},{name:disco,lpa:146,gid:disco},{name:trap,lpa:379,gid:trap},{name:rave,lpa:256,gid:rave},{name:techno,lpa:232,gid:techno},{name:pop,lpa:313,gid:pop},{name:instrumental,lpa:137,gid:instrumental},{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:club,lpa:208,gid:club},{name:club,lpa:208,gid:club},{name:electro,lpa:127,gid:electro},{name:dance,lpa:239,gid:dance},{name:instrumental,lpa:137,gid:instrumental},{name:trance,lpa:281,gid:trance},{name:electronic,lpa:163,gid:electronic},{name:electronica,lpa:192,gid:electronica},{name:disco,lpa:146,gid:disco},{name:rave,lpa:256,gid:rave},{name:pop,lpa:313,gid:pop},{name:techno,lpa:232,gid:techno},{name:trap,lpa:379,gid:trap}]"
"{name:grunge,lpa:7,gid:grunge}",5,"[{name:indie,lpa:145,gid:indie},{name:trap,lpa:379,gid:trap},{name:rock,lpa:165,gid:rock},{name:rock,lpa:165,gid:rock},{name:indie,lpa:145,gid:indie},{name:trap,lpa:379,gid:trap}]"
"{name:orchestral,lpa:8,gid:orchestral}",5,"[{name:blues,lpa:337,gid:blues},{name:fusion,lpa:139,gid:fusion},{name:rock,lpa:165,gid:rock},{name:funk,lpa:348,gid:funk},{name:funk,lpa:348,gid:funk},{name:fusion,lpa:139,gid:fusion},{name:blues,lpa:337,gid:blues},{name:rock,lpa:165,gid:rock}]"
"{name:bachata,lpa:11,gid:bachata}",14,"[{name:dance,lpa:239,gid:dance},{name:tango,lpa:148,gid:tango},{name:kizomba,lpa:371,gid:kizomba},{name:reggaeton,lpa:350,gid:reggaeton},{name:merengue,lpa:71,gid:merengue},{name:salsa,lpa:201,gid:salsa},{name:latin,lpa:169,gid:latin},{name:dance,lpa:239,gid:dance},{name:latin,lpa:169,gid:latin},{name:tango,lpa:148,gid:tango},{name:reggaeton,lpa:350,gid:reggaeton},{name:merengue,lpa:71,gid:merengue},{name:salsa,lpa:201,gid:salsa},{name:kizomba,lpa:371,gid:kizomba}]"
"{name:turntablism,lpa:27,gid:turntablism}",1,"[{name:electro,lpa:127,gid:electro},{name:electro,lpa:127,gid:electro}]"
"{name:rocksteady,lpa:41,gid:rocksteady}",3,"[{name:ska,lpa:135,gid:ska},{name:ska,lpa:135,gid:ska}]"
"{name:merengue,lpa:71,gid:merengue}",6,"[{name:reggaeton,lpa:350,gid:reggaeton},{name:salsa,lpa:201,gid:salsa},{name:bachata,lpa:11,gid:bachata},{name:dance,lpa:239,gid:dance},{name:dance,lpa:239,gid:dance},{name:salsa,lpa:201,gid:salsa},{name:reggaeton,lpa:350,gid:reggaeton},{name:bachata,lpa:11,gid:bachata}]"
"{name:rumba,lpa:93,gid:rumba}",3,"[{name:timba,lpa:391,gid:timba},{name:reggaeton,lpa:350,gid:reggaeton},{name:club,lpa:208,gid:club},{name:timba,lpa:391,gid:timba},{name:reggaeton,lpa:350,gid:reggaeton},{name:club,lpa:208,gid:club}]"
"{name:mambo,lpa:95,gid:mambo}",6,"[{name:chanson,lpa:344,gid:chanson},{name:blues,lpa:337,gid:blues},{name:ballad,lpa:211,gid:ballad},{name:dance,lpa:239,gid:dance},{name:blues,lpa:337,gid:blues},{name:dance,lpa:239,gid:dance},{name:ballad,lpa:211,gid:ballad},{name:chanson,lpa:344,gid:chanson}]"
"{name:drone,lpa:124,gid:drone}",203,"[{name:ska,lpa:135,gid:ska},{name:punk,lpa:282,gid:punk},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:grindcore,lpa:244,gid:grindcore},{name:rave,lpa:256,gid:rave},{name:swing,lpa:340,gid:swing},{name:jazz,lpa:339,gid:jazz},{name:house,lpa:321,gid:house},{name:ambient,lpa:170,gid:ambient},{name:soul,lpa:303,gid:soul},{name:trap,lpa:379,gid:trap},{name:ska,lpa:135,gid:ska},{name:rave,lpa:256,gid:rave},{name:rock,lpa:165,gid:rock},{name:punk,lpa:282,gid:punk},{name:soul,lpa:303,gid:soul},{name:house,lpa:321,gid:house},{name:trap,lpa:379,gid:trap},{name:swing,lpa:340,gid:swing},{name:jazz,lpa:339,gid:jazz},{name:grindcore,lpa:244,gid:grindcore},{name:metal,lpa:354,gid:metal},{name:ambient,lpa:170,gid:ambient}]"
"{name:electro,lpa:127,gid:electro}",22,"[{name:latin,lpa:169,gid:latin},{name:house,lpa:321,gid:house},{name:disco,lpa:146,gid:disco},{name:pop,lpa:313,gid:pop},{name:idm,lpa:162,gid:idm},{name:dance,lpa:239,gid:dance},{name:dubstep,lpa:1,gid:dubstep},{name:club,lpa:208,gid:club},{name:minimal,lpa:223,gid:minimal},{name:turntablism,lpa:27,gid:turntablism},{name:electronica,lpa:192,gid:electronica},{name:indie,lpa:145,gid:indie},{name:electronic,lpa:163,gid:electronic},{name:techno,lpa:232,gid:techno},{name:jazz,lpa:339,gid:jazz},{name:tango,lpa:148,gid:tango},{name:trance,lpa:281,gid:trance},{name:rock,lpa:165,gid:rock},{name:trap,lpa:379,gid:trap},{name:milonga,lpa:378,gid:milonga},{name:ballad,lpa:211,gid:ballad},{name:rave,lpa:256,gid:rave},{name:flamenco,lpa:136,gid:flamenco},{name:opera,lpa:314,gid:opera},{name:kizomba,lpa:371,gid:kizomba},{name:progressive,lpa:328,gid:progressive},{name:minimal,lpa:223,gid:minimal},{name:latin,lpa:169,gid:latin},{name:jazz,lpa:339,gid:jazz},{name:techno,lpa:232,gid:techno},{name:disco,lpa:146,gid:disco},{name:flamenco,lpa:136,gid:flamenco},{name:club,lpa:208,gid:club},{name:kizomba,lpa:371,gid:kizomba},{name:turntablism,lpa:27,gid:turntablism},{name:dance,lpa:239,gid:dance},{name:idm,lpa:162,gid:idm},{name:pop,lpa:313,gid:pop},{name:rave,lpa:256,gid:rave},{name:indie,lpa:145,gid:indie},{name:milonga,lpa:378,gid:milonga},{name:tango,lpa:148,gid:tango},{name:opera,lpa:314,gid:opera},{name:electronic,lpa:163,gid:electronic},{name:rock,lpa:165,gid:rock},{name:trap,lpa:379,gid:trap},{name:dubstep,lpa:1,gid:dubstep},{name:trance,lpa:281,gid:trance},{name:electronica,lpa:192,gid:electronica},{name:ballad,lpa:211,gid:ballad},{name:house,lpa:321,gid:house},{name:progressive,lpa:328,gid:progressive}]"
"{name:classical,lpa:132,gid:classical}",13,"[{name:opera,lpa:314,gid:opera},{name:opera,lpa:314,gid:opera}]"
"{name:ska,lpa:135,gid:ska}",8,"[{name:drone,lpa:124,gid:drone},{name:soul,lpa:303,gid:soul},{name:punk,lpa:282,gid:punk},{name:rocksteady,lpa:41,gid:rocksteady},{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:funk,lpa:348,gid:funk},{name:rocksteady,lpa:41,gid:rocksteady},{name:drone,lpa:124,gid:drone},{name:blues,lpa:337,gid:blues},{name:funk,lpa:348,gid:funk},{name:soul,lpa:303,gid:soul},{name:punk,lpa:282,gid:punk},{name:rock,lpa:165,gid:rock}]"
"{name:flamenco,lpa:136,gid:flamenco}",3,"[{name:trance,lpa:281,gid:trance},{name:trap,lpa:379,gid:trap},{name:pop,lpa:313,gid:pop},{name:rave,lpa:256,gid:rave},{name:electro,lpa:127,gid:electro},{name:tango,lpa:148,gid:tango},{name:milonga,lpa:378,gid:milonga},{name:opera,lpa:314,gid:opera},{name:dance,lpa:239,gid:dance},{name:club,lpa:208,gid:club},{name:house,lpa:321,gid:house},{name:kizomba,lpa:371,gid:kizomba},{name:latin,lpa:169,gid:latin},{name:disco,lpa:146,gid:disco},{name:techno,lpa:232,gid:techno},{name:rave,lpa:256,gid:rave},{name:latin,lpa:169,gid:latin},{name:pop,lpa:313,gid:pop},{name:milonga,lpa:378,gid:milonga},{name:disco,lpa:146,gid:disco},{name:club,lpa:208,gid:club},{name:house,lpa:321,gid:house},{name:dance,lpa:239,gid:dance},{name:trance,lpa:281,gid:trance},{name:tango,lpa:148,gid:tango},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:trap,lpa:379,gid:trap},{name:kizomba,lpa:371,gid:kizomba},{name:techno,lpa:232,gid:techno}]"
"{name:instrumental,lpa:137,gid:instrumental}",8,"[{name:funk,lpa:348,gid:funk},{name:soul,lpa:303,gid:soul},{name:salsa,lpa:201,gid:salsa},{name:latin,lpa:169,gid:latin},{name:dubstep,lpa:1,gid:dubstep},{name:trap,lpa:379,gid:trap},{name:bebop,lpa:218,gid:bebop},{name:jazz,lpa:339,gid:jazz},{name:electronic,lpa:163,gid:electronic},{name:jazz,lpa:339,gid:jazz},{name:funk,lpa:348,gid:funk},{name:trap,lpa:379,gid:trap},{name:soul,lpa:303,gid:soul},{name:salsa,lpa:201,gid:salsa},{name:latin,lpa:169,gid:latin},{name:dubstep,lpa:1,gid:dubstep},{name:electronic,lpa:163,gid:electronic},{name:bebop,lpa:218,gid:bebop}]"
"{name:fusion,lpa:139,gid:fusion}",7,"[{name:indie,lpa:145,gid:indie},{name:jazz,lpa:339,gid:jazz},{name:orchestral,lpa:8,gid:orchestral},{name:disco,lpa:146,gid:disco},{name:psychedelic,lpa:164,gid:psychedelic},{name:glam,lpa:200,gid:glam},{name:downtempo,lpa:156,gid:downtempo},{name:progressive,lpa:328,gid:progressive},{name:shoegaze,lpa:229,gid:shoegaze},{name:folk,lpa:322,gid:folk},{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:funk,lpa:348,gid:funk},{name:pop,lpa:313,gid:pop},{name:soul,lpa:303,gid:soul},{name:metal,lpa:354,gid:metal},{name:experimental,lpa:329,gid:experimental},{name:blues,lpa:337,gid:blues},{name:progressive,lpa:328,gid:progressive},{name:disco,lpa:146,gid:disco},{name:shoegaze,lpa:229,gid:shoegaze},{name:glam,lpa:200,gid:glam},{name:folk,lpa:322,gid:folk},{name:pop,lpa:313,gid:pop},{name:orchestral,lpa:8,gid:orchestral},{name:jazz,lpa:339,gid:jazz},{name:psychedelic,lpa:164,gid:psychedelic},{name:indie,lpa:145,gid:indie},{name:rock,lpa:165,gid:rock},{name:soul,lpa:303,gid:soul},{name:experimental,lpa:329,gid:experimental},{name:downtempo,lpa:156,gid:downtempo},{name:funk,lpa:348,gid:funk},{name:metal,lpa:354,gid:metal}]"
"{name:rockabilly,lpa:144,gid:rockabilly}",11,"[{name:rock,lpa:165,gid:rock},{name:psychedelic,lpa:164,gid:psychedelic},{name:club,lpa:208,gid:club},{name:indie,lpa:145,gid:indie},{name:psychobilly,lpa:246,gid:psychobilly},{name:punk,lpa:282,gid:punk},{name:glam,lpa:200,gid:glam},{name:rock,lpa:165,gid:rock},{name:psychedelic,lpa:164,gid:psychedelic},{name:club,lpa:208,gid:club},{name:psychobilly,lpa:246,gid:psychobilly},{name:punk,lpa:282,gid:punk},{name:glam,lpa:200,gid:glam},{name:indie,lpa:145,gid:indie}]"
"{name:indie,lpa:145,gid:indie}",47,"[{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:disco,lpa:146,gid:disco},{name:trap,lpa:379,gid:trap},{name:soul,lpa:303,gid:soul},{name:milonga,lpa:378,gid:milonga},{name:experimental,lpa:329,gid:experimental},{name:jazz,lpa:339,gid:jazz},{name:tango,lpa:148,gid:tango},{name:funk,lpa:348,gid:funk},{name:progressive,lpa:328,gid:progressive},{name:electro,lpa:127,gid:electro},{name:metal,lpa:354,gid:metal},{name:folk,lpa:322,gid:folk},{name:grunge,lpa:7,gid:grunge},{name:punk,lpa:282,gid:punk},{name:fusion,lpa:139,gid:fusion},{name:shoegaze,lpa:229,gid:shoegaze},{name:psychedelic,lpa:164,gid:psychedelic},{name:britpop,lpa:293,gid:britpop},{name:rockabilly,lpa:144,gid:rockabilly},{name:rock,lpa:165,gid:rock},{name:glam,lpa:200,gid:glam},{name:opera,lpa:314,gid:opera},{name:fusion,lpa:139,gid:fusion},{name:shoegaze,lpa:229,gid:shoegaze},{name:trap,lpa:379,gid:trap},{name:grunge,lpa:7,gid:grunge},{name:psychedelic,lpa:164,gid:psychedelic},{name:glam,lpa:200,gid:glam},{name:rockabilly,lpa:144,gid:rockabilly},{name:progressive,lpa:328,gid:progressive},{name:britpop,lpa:293,gid:britpop},{name:pop,lpa:313,gid:pop},{name:electro,lpa:127,gid:electro},{name:folk,lpa:322,gid:folk},{name:punk,lpa:282,gid:punk},{name:opera,lpa:314,gid:opera},{name:blues,lpa:337,gid:blues},{name:milonga,lpa:378,gid:milonga},{name:tango,lpa:148,gid:tango},{name:metal,lpa:354,gid:metal},{name:jazz,lpa:339,gid:jazz},{name:rock,lpa:165,gid:rock},{name:funk,lpa:348,gid:funk},{name:disco,lpa:146,gid:disco},{name:experimental,lpa:329,gid:experimental},{name:soul,lpa:303,gid:soul}]"
"{name:disco,lpa:146,gid:disco}",72,"[{name:reggaeton,lpa:350,gid:reggaeton},{name:house,lpa:321,gid:house},{name:fusion,lpa:139,gid:fusion},{name:soul,lpa:303,gid:soul},{name:opera,lpa:314,gid:opera},{name:tango,lpa:148,gid:tango},{name:electronica,lpa:192,gid:electronica},{name:alternative rock,lpa:360,gid:alternative rock},{name:electro,lpa:127,gid:electro},{name:flamenco,lpa:136,gid:flamenco},{name:metal,lpa:354,gid:metal},{name:latin,lpa:169,gid:latin},{name:techno,lpa:232,gid:techno},{name:trance,lpa:281,gid:trance},{name:rave,lpa:256,gid:rave},{name:milonga,lpa:378,gid:milonga},{name:kizomba,lpa:371,gid:kizomba},{name:club,lpa:208,gid:club},{name:dance,lpa:239,gid:dance},{name:dubstep,lpa:1,gid:dubstep},{name:funk,lpa:348,gid:funk},{name:pop,lpa:313,gid:pop},{name:jazz,lpa:339,gid:jazz},{name:trap,lpa:379,gid:trap},{name:rock,lpa:165,gid:rock},{name:downtempo,lpa:156,gid:downtempo},{name:britpop,lpa:293,gid:britpop},{name:indie,lpa:145,gid:indie},{name:kizomba,lpa:371,gid:kizomba},{name:rock,lpa:165,gid:rock},{name:trance,lpa:281,gid:trance},{name:electro,lpa:127,gid:electro},{name:indie,lpa:145,gid:indie},{name:reggaeton,lpa:350,gid:reggaeton},{name:funk,lpa:348,gid:funk},{name:fusion,lpa:139,gid:fusion},{name:soul,lpa:303,gid:soul},{name:dubstep,lpa:1,gid:dubstep},{name:britpop,lpa:293,gid:britpop},{name:alternative rock,lpa:360,gid:alternative rock},{name:jazz,lpa:339,gid:jazz},{name:house,lpa:321,gid:house},{name:opera,lpa:314,gid:opera},{name:trap,lpa:379,gid:trap},{name:techno,lpa:232,gid:techno},{name:metal,lpa:354,gid:metal},{name:electronica,lpa:192,gid:electronica},{name:latin,lpa:169,gid:latin},{name:tango,lpa:148,gid:tango},{name:dance,lpa:239,gid:dance},{name:club,lpa:208,gid:club},{name:flamenco,lpa:136,gid:flamenco},{name:downtempo,lpa:156,gid:downtempo},{name:milonga,lpa:378,gid:milonga},{name:pop,lpa:313,gid:pop},{name:rave,lpa:256,gid:rave}]"
"{name:tango,lpa:148,gid:tango}",66,"[{name:trap,lpa:379,gid:trap},{name:bachata,lpa:11,gid:bachata},{name:jazz,lpa:339,gid:jazz},{name:techno,lpa:232,gid:techno},{name:kizomba,lpa:371,gid:kizomba},{name:opera,lpa:314,gid:opera},{name:latin,lpa:169,gid:latin},{name:dance,lpa:239,gid:dance},{name:flamenco,lpa:136,gid:flamenco},{name:electro,lpa:127,gid:electro},{name:rock,lpa:165,gid:rock},{name:trance,lpa:281,gid:trance},{name:club,lpa:208,gid:club},{name:disco,lpa:146,gid:disco},{name:swing,lpa:340,gid:swing},{name:indie,lpa:145,gid:indie},{name:metal,lpa:354,gid:metal},{name:rave,lpa:256,gid:rave},{name:folk,lpa:322,gid:folk},{name:house,lpa:321,gid:house},{name:milonga,lpa:378,gid:milonga},{name:pop,lpa:313,gid:pop},{name:bachata,lpa:11,gid:bachata},{name:jazz,lpa:339,gid:jazz},{name:disco,lpa:146,gid:disco},{name:latin,lpa:169,gid:latin},{name:rock,lpa:165,gid:rock},{name:metal,lpa:354,gid:metal},{name:dance,lpa:239,gid:dance},{name:folk,lpa:322,gid:folk},{name:trance,lpa:281,gid:trance},{name:flamenco,lpa:136,gid:flamenco},{name:rave,lpa:256,gid:rave},{name:indie,lpa:145,gid:indie},{name:club,lpa:208,gid:club},{name:swing,lpa:340,gid:swing},{name:milonga,lpa:378,gid:milonga},{name:techno,lpa:232,gid:techno},{name:electro,lpa:127,gid:electro},{name:opera,lpa:314,gid:opera},{name:house,lpa:321,gid:house},{name:pop,lpa:313,gid:pop},{name:kizomba,lpa:371,gid:kizomba},{name:trap,lpa:379,gid:trap}]"
"{name:downtempo,lpa:156,gid:downtempo}",4,"[{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:chillout,lpa:307,gid:chillout},{name:electronica,lpa:192,gid:electronica},{name:fusion,lpa:139,gid:fusion},{name:experimental,lpa:329,gid:experimental},{name:disco,lpa:146,gid:disco},{name:industrial,lpa:342,gid:industrial},{name:soul,lpa:303,gid:soul},{name:soul,lpa:303,gid:soul},{name:techno,lpa:232,gid:techno},{name:experimental,lpa:329,gid:experimental},{name:fusion,lpa:139,gid:fusion},{name:minimal,lpa:223,gid:minimal},{name:electronica,lpa:192,gid:electronica},{name:industrial,lpa:342,gid:industrial},{name:chillout,lpa:307,gid:chillout},{name:disco,lpa:146,gid:disco}]"
"{name:bluegrass,lpa:157,gid:bluegrass}",1,"[{name:bebop,lpa:218,gid:bebop},{name:jazz,lpa:339,gid:jazz},{name:jazz,lpa:339,gid:jazz},{name:bebop,lpa:218,gid:bebop}]"
"{name:idm,lpa:162,gid:idm}",4,"[{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:electronic,lpa:163,gid:electronic},{name:electro,lpa:127,gid:electro},{name:electronic,lpa:163,gid:electronic},{name:dance,lpa:239,gid:dance}]"
"{name:electronic,lpa:163,gid:electronic}",5,"[{name:trance,lpa:281,gid:trance},{name:idm,lpa:162,gid:idm},{name:dance,lpa:239,gid:dance},{name:dubstep,lpa:1,gid:dubstep},{name:house,lpa:321,gid:house},{name:electro,lpa:127,gid:electro},{name:instrumental,lpa:137,gid:instrumental},{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:dubstep,lpa:1,gid:dubstep},{name:trance,lpa:281,gid:trance},{name:house,lpa:321,gid:house},{name:electro,lpa:127,gid:electro},{name:minimal,lpa:223,gid:minimal},{name:instrumental,lpa:137,gid:instrumental},{name:idm,lpa:162,gid:idm},{name:dance,lpa:239,gid:dance}]"
