,g,popu,collect(g1)
0,dubstep,21,"trap,disco,instrumental,dance,club,rave,pop,electronica,techno,trance,electronic,electro"
1,grunge,5,"trap,indie,rock"
2,orchestral,5,"funk,blues,fusion,rock"
3,bachata,14,"kizomba,dance,reggaeton,salsa,latin,tango,merengue"
4,turntablism,1,electro
5,rocksteady,3,ska
6,merengue,6,"bachata,reggaeton,salsa,dance"
7,rumba,3,"timba,reggaeton,club"
8,mambo,6,"chanson,ballad,dance,blues"
9,drone,203,"trap,jazz,ska,soul,ambient,house,metal,rave,punk,grindcore,rock,swing"
10,electro,22,"jazz,opera,rock,flamenco,milonga,ballad,turntablism,latin,dubstep,house,electronica,tango,electronic,disco,kizomba,indie,dance,club,pop,progressive,techno,trap,minimal,idm,rave,trance"
11,classical,13,opera
12,ska,8,"funk,soul,rocksteady,blues,punk,drone,rock"
13,flamenco,3,"trap,disco,milonga,kizomba,dance,opera,club,latin,house,rave,pop,tango,techno,trance,electro"
14,instrumental,8,"trap,funk,jazz,salsa,dubstep,latin,bebop,electronic,soul"
15,fusion,7,"disco,funk,indie,jazz,folk,downtempo,soul,metal,glam,blues,psychedelic,shoegaze,pop,progressive,experimental,orchestral,rock"
16,rockabilly,11,"indie,club,glam,psychedelic,psychobilly,punk,rock"
17,indie,47,"jazz,opera,britpop,glam,rockabilly,soul,rock,milonga,tango,punk,fusion,disco,funk,metal,pop,psychedelic,shoegaze,progressive,electro,trap,folk,grunge,experimental,blues"
18,disco,72,"jazz,opera,britpop,soul,rock,flamenco,milonga,downtempo,latin,dubstep,house,tango,alternative rock,electronica,fusion,funk,kizomba,indie,dance,reggaeton,club,metal,pop,techno,electro,trap,rave,trance"
19,tango,66,"jazz,opera,rock,swing,flamenco,milonga,latin,house,disco,kizomba,indie,dance,club,metal,pop,techno,electro,trap,folk,rave,bachata,trance"
20,downtempo,4,"disco,minimal,chillout,experimental,electronica,techno,industrial,fusion,soul"
21,bluegrass,1,"bebop,jazz"
22,idm,4,"electronic,electro,dance"
23,electronic,5,"instrumental,minimal,dance,dubstep,idm,house,techno,trance,electro"
24,psychedelic,15,"trance,indie,jazz,folk,ballad,soul,metal,glam,experimental,blues,pop,rave,progressive,shoegaze,punk,rockabilly,fusion,rock"
25,rock,261,"jazz,ska,opera,noise,musical,glam,drone,rockabilly,country,swing,soul,milonga,ballad,house,punk,tango,fusion,reggae,disco,funk,indie,dance,ambient,metal,garage,pop,psychedelic,shoegaze,progressive,grindcore,electro,trap,minimal,folk,grunge,rave,blues,experimental,orchestral"
26,guaracha,2,house
27,latin,139,"jazz,opera,salsa,soul,flamenco,milonga,house,tango,funk,kizomba,disco,bossa nova,dance,reggaeton,club,pop,bebop,techno,electro,trap,instrumental,rave,bachata,trance"
28,ambient,7,"grindcore,metal,pop,drone,lounge,rock"
29,country,24,"americana,dance,jazz,soul,blues,pop,rock"
30,garage,69,"opera,rock"
31,electronica,7,"disco,minimal,downtempo,dubstep,chillout,house,experimental,techno,industrial,electro"
32,ebm,19,"techno,salsa"
33,glam,23,"indie,jazz,folk,metal,blues,pop,psychedelic,punk,shoegaze,progressive,experimental,rock,rockabilly,fusion,soul"
34,salsa,43,"timba,ebm,funk,instrumental,kizomba,jazz,dance,bachata,reggaeton,latin,merengue,bebop,soul"
35,bossa nova,72,"lounge,jazz,latin"
36,club,64,"jazz,opera,musical,rockabilly,flamenco,milonga,latin,dubstep,house,rumba,tango,lounge,disco,kizomba,funk,schlager,dance,reggaeton,metal,pop,progressive,techno,electro,trap,timba,rave,trance"
37,ballad,4,"electro,chanson,jazz,dance,rave,blues,pop,psychedelic,mambo,rock"
38,bebop,2,"funk,instrumental,jazz,salsa,latin,bluegrass,soul"
39,minimal,34,"dance,reggae,downtempo,chillout,house,experimental,rock,dub,electronica,progressive,techno,industrial,trance,electronic,electro"
40,shoegaze,4,"indie,jazz,folk,soul,experimental,metal,glam,blues,psychedelic,pop,progressive,fusion,rock"
41,noise,3,rock
42,americana,8,country
43,techno,55,"opera,psytrance,flamenco,milonga,downtempo,latin,dubstep,house,electronica,tango,industrial,electronic,disco,kizomba,dance,club,chillout,dub,pop,progressive,electro,trap,ebm,minimal,experimental,rave,trance"
44,dancehall,4,"reggae,dance"
45,dance,337,"jazz,opera,salsa,musical,rock,country,psytrance,dancehall,milonga,flamenco,soul,ballad,comedy,dubstep,latin,house,tango,alternative rock,merengue,electronic,funk,kizomba,chanson,disco,reggaeton,club,pop,mambo,techno,electro,trap,minimal,idm,rave,blues,bachata,trance"
46,grindcore,2,"ambient,metal,rock,drone"
47,psychobilly,2,rockabilly
48,emocore,1,emo
49,rave,211,"opera,drone,soul,rock,flamenco,milonga,ballad,latin,dubstep,house,tango,disco,kizomba,dance,club,pop,psychedelic,techno,electro,trap,blues,trance"
50,lounge,20,"jazz,bossa nova,reggaeton,club,ambient,house,progressive"
51,psytrance,1,"techno,trance,dance"
52,metalcore,4,metal
53,comedy,23,"opera,dance"
54,dub,2,"techno,minimal"
55,trance,47,"opera,psytrance,flamenco,milonga,latin,dubstep,house,tango,electronic,disco,kizomba,dance,club,pop,psychedelic,progressive,techno,electro,trap,minimal,rave"
56,punk,21,"funk,indie,folk,ska,metal,glam,blues,psychedelic,rock,drone,rockabilly,soul"
57,schlager,15,"trap,celtic,club,pop"
58,celtic,9,"trap,schlager"
59,britpop,1,"disco,indie"
60,soul,97,"jazz,ska,salsa,glam,drone,rock,country,downtempo,latin,punk,fusion,reggae,funk,disco,indie,dance,metal,pop,psychedelic,shoegaze,progressive,bebop,trap,instrumental,folk,rave,blues,experimental"
61,chillout,2,"minimal,downtempo,experimental,electronica,techno,industrial"
62,emo,1,emocore
63,pop,147,"jazz,opera,musical,glam,soul,country,rock,flamenco,milonga,ballad,latin,dubstep,house,tango,fusion,reggae,funk,kizomba,disco,schlager,indie,dance,reggaeton,club,ambient,metal,psychedelic,shoegaze,progressive,techno,electro,trap,folk,experimental,blues,rave,trance"
64,opera,172,"jazz,classical,musical,rock,flamenco,milonga,comedy,latin,house,tango,reggae,disco,kizomba,indie,dance,club,garage,pop,techno,electro,trap,folk,rave,trance"
65,house,73,"opera,drone,rock,guaracha,flamenco,milonga,latin,electronica,tango,lounge,electronic,funk,disco,kizomba,dance,club,metal,pop,progressive,techno,electro,trap,minimal,rave,trance"
66,folk,30,"progressive,indie,jazz,opera,soul,metal,glam,experimental,psychedelic,shoegaze,punk,tango,blues,pop,fusion,rock,swing"
67,progressive,14,"jazz,glam,soul,rock,house,lounge,fusion,indie,club,metal,pop,psychedelic,shoegaze,techno,electro,minimal,folk,experimental,blues,trance"
68,experimental,4,"jazz,glam,rock,soul,downtempo,electronica,industrial,fusion,indie,chillout,metal,pop,psychedelic,shoegaze,progressive,techno,minimal,folk,blues"
69,blues,71,"jazz,ska,musical,glam,rock,country,soul,ballad,punk,fusion,reggae,funk,chanson,indie,dance,metal,pop,psychedelic,shoegaze,progressive,mambo,folk,rave,experimental,orchestral"
70,reggae,14,"trap,dancehall,minimal,jazz,opera,blues,pop,rock,soul"
71,jazz,294,"opera,salsa,musical,glam,drone,country,rock,swing,soul,ballad,latin,tango,lounge,fusion,reggae,disco,funk,indie,bossa nova,dance,club,metal,pop,psychedelic,shoegaze,progressive,bebop,electro,timba,instrumental,folk,experimental,blues,bluegrass"
72,swing,24,"jazz,folk,tango,drone,rock"
73,industrial,7,"minimal,downtempo,chillout,experimental,electronica,techno"
74,chanson,1,"mambo,blues,ballad,dance"
75,funk,21,"jazz,ska,salsa,rock,soul,latin,house,punk,fusion,disco,indie,dance,club,pop,bebop,trap,instrumental,blues,orchestral"
76,reggaeton,70,"timba,disco,trap,dance,salsa,latin,club,rumba,pop,merengue,bachata,lounge"
77,metal,48,"jazz,glam,drone,rock,soul,milonga,house,punk,tango,fusion,disco,indie,metalcore,club,ambient,pop,psychedelic,shoegaze,progressive,grindcore,folk,experimental,blues"
78,musical,44,"jazz,dance,opera,club,blues,pop,rock"
79,alternative rock,1,"disco,dance"
80,kizomba,6,"trap,disco,flamenco,milonga,dance,opera,bachata,salsa,club,latin,house,rave,pop,tango,techno,trance,electro"
81,milonga,28,"trap,flamenco,electro,kizomba,indie,disco,dance,opera,club,latin,house,metal,rave,pop,tango,techno,trance,rock"
82,trap,108,"opera,celtic,drone,soul,rock,flamenco,milonga,latin,dubstep,house,tango,reggae,disco,kizomba,funk,indie,schlager,dance,reggaeton,club,pop,techno,electro,instrumental,grunge,rave,trance"
83,timba,3,"jazz,reggaeton,club,salsa,rumba"
